url,output_dir
https://sangeethamshare.org/asokan/CARNATIC/049-Emani-RTPs,d1c7e0e4-049-Emani-RTPs
https://sangeethamshare.org/asokan/CARNATIC/050-SSI-MSS-KSN-House-concert,3b0192fb-050-SSI-MSS-KSN-House-concert
https://sangeethamshare.org/asokan/CARNATIC/051-Ramnad-Krishnan,db63bcd9-051-Ramnad-Krishnan
https://sangeethamshare.org/asokan/CARNATIC/052-KVN-AIR-Bangalore-1964,edc7d180-052-KVN-AIR-Bangalore-1964
https://sangeethamshare.org/asokan/CARNATIC/053-SSI-VVS-RR,93b80f28-053-SSI-VVS-RR
https://sangeethamshare.org/asokan/CARNATIC/054-Ramnad-Krishnan-Thiruvayyaru,1f78acc8-054-Ramnad-Krishnan-Thiruvayyaru
https://sangeethamshare.org/asokan/CARNATIC/055-TNS-KA-CSM,1e9f6e92-055-TNS-KA-CSM
https://sangeethamshare.org/asokan/CARNATIC/056-TNS-MC-Ghatkopar-Bombay,d6858574-056-TNS-MC-Ghatkopar-Bombay
https://sangeethamshare.org/asokan/CARNATIC/057-TNS-Balu-Easwaran-Mullund-Bombay,2bcb2bd6-057-TNS-Balu-Easwaran-Mullund-Bombay
https://sangeethamshare.org/asokan/CARNATIC/058-G.S.Mani-MSG-TKM,7a87582-058-G.S.Mani-MSG-TKM
https://sangeethamshare.org/asokan/CARNATIC/059-G.S.Mani,a45b3264-059-G.S.Mani
https://sangeethamshare.org/asokan/CARNATIC/060-G.S.Mani-1988/,89bc2a33-060-G.S.Mani-1988
https://sangeethamshare.org/asokan/CARNATIC/061-Lalgudi-Solo,fdc4e134-061-Lalgudi-Solo
https://sangeethamshare.org/asokan/CARNATIC/062-SSI,940cd455-062-SSI
https://sangeethamshare.org/asokan/CARNATIC/063-SSI,a96cfde5-063-SSI
https://sangeethamshare.org/asokan/CARNATIC/064-U.Srinivas-RTPs,edd4200f-064-U.Srinivas-RTPs
https://sangeethamshare.org/asokan/CARNATIC/065.N.Ramani-concert,e97f7af3-065.N.Ramani-concert
https://sangeethamshare.org/asokan/CARNATIC/066_Kunnakudi-Vaidyanathan,e027b692-066_Kunnakudi-Vaidyanathan
https://sangeethamshare.org/asokan/CARNATIC/067_U.Srinivas-U.Rajesh,4c5e8645-067_U.Srinivas-U.Rajesh
https://sangeethamshare.org/asokan/CARNATIC/068_DKJ_MSG_VELLORE,212f62c5-068_DKJ_MSG_VELLORE
https://sangeethamshare.org/asokan/CARNATIC/069__DKJ_LALGUDI,e4d90c13-069__DKJ_LALGUDI
https://sangeethamshare.org/asokan/CARNATIC/070-Seetha-Subramaniam,bcd5bc15-070-Seetha-Subramaniam
https://sangeethamshare.org/asokan/CARNATIC/071-Vechoor-Harihara-Subramania-Iyer,f39d2ce1-071-Vechoor-Harihara-Subramania-Iyer
https://sangeethamshare.org/asokan/CARNATIC/072_Santhanam_MSG_Vellore,fd17134a-072_Santhanam_MSG_Vellore
https://sangeethamshare.org/asokan/CARNATIC/073_Santhanam_MSG,1d8a5872-073_Santhanam_MSG
https://sangeethamshare.org/asokan/CARNATIC/074_Santhanam_MSG,868b5768-074_Santhanam_MSG
https://sangeethamshare.org/asokan/CARNATIC/075-BMK-25-Aug-1982,d2bc9017-075-BMK-25-Aug-1982
https://sangeethamshare.org/asokan/CARNATIC/075-BMK-25-Aug-1982/f6g4,a0da7d3f-f6g4
https://sangeethamshare.org/asokan/CARNATIC/076-BMK-Andhra_Association_Nagpur_1981,4f40c418-076-BMK-Andhra_Association_Nagpur_1981
https://sangeethamshare.org/asokan/CARNATIC/077-BMK_at_B.V.Raman_Felicitations-Chowdiah_Hall,8a262886-077-BMK_at_B.V.Raman_Felicitations-Chowdiah_Hall
https://sangeethamshare.org/asokan/CARNATIC/078-BMK_Chalakudy_TVG_RTP_Gamanasrama,8623a5e4-078-BMK_Chalakudy_TVG_RTP_Gamanasrama
https://sangeethamshare.org/asokan/CARNATIC/079-BMK_Chowdiah_Memorial_1982,f05fc28-079-BMK_Chowdiah_Memorial_1982
https://sangeethamshare.org/asokan/CARNATIC/080-BMK_Delhi_1975,83564c5d-080-BMK_Delhi_1975
https://sangeethamshare.org/asokan/CARNATIC/081-BMK_Fort_High_School_1980,f3f4370f-081-BMK_Fort_High_School_1980
https://sangeethamshare.org/asokan/CARNATIC/082-BMK_Fort_High_School_30Apr1982,15ab722f-082-BMK_Fort_High_School_30Apr1982
https://sangeethamshare.org/asokan/CARNATIC/083-BMK_Karnataka_Fine_Arts_Bangalore_1985,fd5dac5a-083-BMK_Karnataka_Fine_Arts_Bangalore_1985
https://sangeethamshare.org/asokan/CARNATIC/084-BMK_Radio_Sangeet_Sammelan_1989_Delhi,1eef7f29-084-BMK_Radio_Sangeet_Sammelan_1989_Delhi
https://sangeethamshare.org/asokan/CARNATIC/085-BMK_RTP_Hindolam_Mysore_1980,14918af7-085-BMK_RTP_Hindolam_Mysore_1980
https://sangeethamshare.org/asokan/CARNATIC/086-BMK_Thyaga_Brahma_Sabha_1982,f140f1d3-086-BMK_Thyaga_Brahma_Sabha_1982
