url,output_dir
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/16-OS_aruN-vocal/,9776d898-16-OS_aruN-vocal
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/17-B_shivarAmakrishNan-sithAr/,1f7eded5-17-B_shivarAmakrishNan-sithAr
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/18-n_ravikiraN-chithra_vINa/,3c9a247d-18-n_ravikiraN-chithra_vINa
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/19-anurADha_shrirAm_parashurAm-vocal_duet/,8ddb00e3-19-anurADha_shrirAm_parashurAm-vocal_duet
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/20-mangala_isai-chEthulAra/,56fc63e-20-mangala_isai-chEthulAra
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/21-TS_pAndyan-nAgaswara/,52fb631e-21-TS_pAndyan-nAgaswara
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/22-vINa_concert/,2a31989f-22-vINa_concert
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/23-nAgaswara-2/,b55bcf64-23-nAgaswara-2
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/24-KM_uththirApathi-p_karuNAkaran-nAgaswara-3/,c2429488-24-KM_uththirApathi-p_karuNAkaran-nAgaswara-3
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/25-a_shenoi_concert/,b142e498-25-a_shenoi_concert
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/25-shenoi_concert/,3a51a3c5-25-shenoi_concert
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/26-ashOk_ramaNi-vocal/,34fe83b0-26-ashOk_ramaNi-vocal
https://66.182.253.251/sendspace/Manjunath/121-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/27-gAyathri_girIsh-vocal/,a691f646-27-gAyathri_girIsh-vocal
